Requirement,UAV,Step,CommunicationCost,ComputationCost,AccuracyMetric,CommColor_R,CommColor_G,CommColor_B,CompColor_R,CompColor_G,CompColor_B,AccColor_R,AccColor_G,AccColor_B
High,UAV13,2,848,210085.666666667,10.2439747201228,0.929411764705882,0.490196078431373,0.192156862745098,0.929411764705882,0.490196078431373,0.192156862745098,0.929411764705882,0.490196078431373,0.192156862745098
High,UAV13,3,848,210085.666666667,10.2439747201228,1,0.752941176470588,0,1,0.752941176470588,0,1,0.752941176470588,0
High,UAV13,4,1616,210085.666666667,10.2439747201228,0.43921568627451,0.67843137254902,0.27843137254902,0.43921568627451,0.67843137254902,0.27843137254902,0.43921568627451,0.67843137254902,0.27843137254902
High,UAV14,1,0,5091.66666666667,19.8588242616534,0.356862745098039,0.607843137254902,0.835294117647059,0.356862745098039,0.607843137254902,0.835294117647059,0.356862745098039,0.607843137254902,0.835294117647059
High,UAV14,2,848,228430.333333333,10.7939691182096,0.929411764705882,0.490196078431373,0.192156862745098,0.929411764705882,0.490196078431373,0.192156862745098,0.929411764705882,0.490196078431373,0.192156862745098
High,UAV14,3,952,268617.666666667,9.64593588370343,1,0.752941176470588,0,1,0.752941176470588,0,1,0.752941176470588,0
High,UAV14,4,1432,268617.666666667,9.64593588370343,0.43921568627451,0.67843137254902,0.27843137254902,0.43921568627451,0.67843137254902,0.27843137254902,0.43921568627451,0.67843137254902,0.27843137254902
High,UAV20,1,0,5091.66666666667,19.858851499404,0.356862745098039,0.607843137254902,0.835294117647059,0.356862745098039,0.607843137254902,0.835294117647059,0.356862745098039,0.607843137254902,0.835294117647059
High,UAV20,2,616,70444.3333333333,9.87705574306661,0.929411764705882,0.490196078431373,0.192156862745098,0.929411764705882,0.490196078431373,0.192156862745098,0.929411764705882,0.490196078431373,0.192156862745098
High,UAV20,3,624,70444.3333333333,8.15195397505532,1,0.752941176470588,0,1,0.752941176470588,0,1,0.752941176470588,0
High,UAV20,4,912,70444.3333333333,8.15195397505532,0.43921568627451,0.67843137254902,0.27843137254902,0.43921568627451,0.67843137254902,0.27843137254902,0.43921568627451,0.67843137254902,0.27843137254902
High,UAV25,1,0,5091.66666666667,19.85892570471,0.356862745098039,0.607843137254902,0.835294117647059,0.356862745098039,0.607843137254902,0.835294117647059,0.356862745098039,0.607843137254902,0.835294117647059
High,UAV25,2,416,18915,10.7100059683909,0.929411764705882,0.490196078431373,0.192156862745098,0.929411764705882,0.490196078431373,0.192156862745098,0.929411764705882,0.490196078431373,0.192156862745098
High,UAV25,3,536,42457.6666666667,9.76940871232014,1,0.752941176470588,0,1,0.752941176470588,0,1,0.752941176470588,0
High,UAV25,4,1304,42457.6666666667,9.76940871232014,0.43921568627451,0.67843137254902,0.27843137254902,0.43921568627451,0.67843137254902,0.27843137254902,0.43921568627451,0.67843137254902,0.27843137254902
Very High,UAV6,1,0,5091.66666666667,19.858973159076,0.356862745098039,0.607843137254902,0.835294117647059,0.356862745098039,0.607843137254902,0.835294117647059,0.356862745098039,0.607843137254902,0.835294117647059
Very High,UAV6,2,608,33837,10.1474329712514,0.929411764705882,0.490196078431373,0.192156862745098,0.929411764705882,0.490196078431373,0.192156862745098,0.929411764705882,0.490196078431373,0.192156862745098
Very High,UAV6,3,816,57379.6666666667,10.1474329712514,1,0.752941176470588,0,1,0.752941176470588,0,1,0.752941176470588,0
Very High,UAV6,4,1512,233926.666666667,9.55986876848456,0.43921568627451,0.67843137254902,0.27843137254902,0.43921568627451,0.67843137254902,0.27843137254902,0.43921568627451,0.67843137254902,0.27843137254902
Very High,UAV6,5,2184,233926.666666667,9.55986876848456,0.266666666666667,0.447058823529412,0.768627450980392,0.266666666666667,0.447058823529412,0.768627450980392,0.266666666666667,0.447058823529412,0.768627450980392
Very High,UAV13,1,0,5091.66666666667,19.8588468281081,0.356862745098039,0.607843137254902,0.835294117647059,0.356862745098039,0.607843137254902,0.835294117647059,0.356862745098039,0.607843137254902,0.835294117647059
Very High,UAV13,2,848,537945,10.2305766764368,0.929411764705882,0.490196078431373,0.192156862745098,0.929411764705882,0.490196078431373,0.192156862745098,0.929411764705882,0.490196078431373,0.192156862745098
Very High,UAV13,3,1496,826772.333333333,8.1612325203408,1,0.752941176470588,0,1,0.752941176470588,0,1,0.752941176470588,0
Very High,UAV13,4,1496,826772.333333333,8.1612325203408,0.43921568627451,0.67843137254902,0.27843137254902,0.43921568627451,0.67843137254902,0.27843137254902,0.43921568627451,0.67843137254902,0.27843137254902
Very High,UAV13,5,2552,826772.333333333,8.1612325203408,0.266666666666667,0.447058823529412,0.768627450980392,0.266666666666667,0.447058823529412,0.768627450980392,0.266666666666667,0.447058823529412,0.768627450980392
Very High,UAV14,1,0,5091.66666666667,19.8588242616534,0.356862745098039,0.607843137254902,0.835294117647059,0.356862745098039,0.607843137254902,0.835294117647059,0.356862745098039,0.607843137254902,0.835294117647059
Very High,UAV14,2,728,39567.6666666667,11.2352081955859,0.929411764705882,0.490196078431373,0.192156862745098,0.929411764705882,0.490196078431373,0.192156862745098,0.929411764705882,0.490196078431373,0.192156862745098
Very High,UAV14,3,848,83438.3333333333,7.28349641171496,1,0.752941176470588,0,1,0.752941176470588,0,1,0.752941176470588,0
Very High,UAV14,4,968,83438.3333333333,7.28349641171496,0.43921568627451,0.67843137254902,0.27843137254902,0.43921568627451,0.67843137254902,0.27843137254902,0.43921568627451,0.67843137254902,0.27843137254902
Very High,UAV14,5,1448,83438.3333333333,7.28349641171496,0.266666666666667,0.447058823529412,0.768627450980392,0.266666666666667,0.447058823529412,0.768627450980392,0.266666666666667,0.447058823529412,0.768627450980392
Very High,UAV20,1,0,5091.66666666667,19.858851499404,0.356862745098039,0.607843137254902,0.835294117647059,0.356862745098039,0.607843137254902,0.835294117647059,0.356862745098039,0.607843137254902,0.835294117647059
Very High,UAV20,2,624,79467,9.86905401750283,0.929411764705882,0.490196078431373,0.192156862745098,0.929411764705882,0.490196078431373,0.192156862745098,0.929411764705882,0.490196078431373,0.192156862745098
Very High,UAV20,3,1408,237509.333333333,8.14647738788662,1,0.752941176470588,0,1,0.752941176470588,0,1,0.752941176470588,0
Very High,UAV20,4,1408,237509.333333333,7.2808534232365,0.43921568627451,0.67843137254902,0.27843137254902,0.43921568627451,0.67843137254902,0.27843137254902,0.43921568627451,0.67843137254902,0.27843137254902
Very High,UAV20,5,1696,237509.333333333,7.2808534232365,0.266666666666667,0.447058823529412,0.768627450980392,0.266666666666667,0.447058823529412,0.768627450980392,0.266666666666667,0.447058823529412,0.768627450980392
Very High,UAV25,1,0,5091.66666666667,19.85892570471,0.356862745098039,0.607843137254902,0.835294117647059,0.356862745098039,0.607843137254902,0.835294117647059,0.356862745098039,0.607843137254902,0.835294117647059
Very High,UAV25,2,424,17313.6666666667,10.7124396572396,0.929411764705882,0.490196078431373,0.192156862745098,0.929411764705882,0.490196078431373,0.192156862745098,0.929411764705882,0.490196078431373,0.192156862745098
Very High,UAV25,3,752,188607,9.76332485555518,1,0.752941176470588,0,1,0.752941176470588,0,1,0.752941176470588,0
Very High,UAV25,4,992,671463.666666667,9.35448434126099,0.43921568627451,0.67843137254902,0.27843137254902,0.43921568627451,0.67843137254902,0.27843137254902,0.43921568627451,0.67843137254902,0.27843137254902
Very High,UAV25,5,1568,671463.666666667,9.35448434126099,0.266666666666667,0.447058823529412,0.768627450980392,0.266666666666667,0.447058823529412,0.768627450980392,0.266666666666667,0.447058823529412,0.768627450980392
